Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,PlayoffStatus
"Redskins
            
          

                  

            Redskins",605,349,57.7,7,4261,21,19,78,194,32.1,51,13,76,46,348,Absent
"Buccaneers
            
          

                  

            Buccaneers",494,306,61.9,7.2,3564,26,6,96.2,172,34.8,49,10,64,30,203,Absent
"Seahawks
            
          

                  

            Seahawks",544,324,59.6,6.5,3536,14,20,72.1,159,29.2,39,11,87T,35,195,Divisional
"49ers
            
          

                  

            49ers",500,282,56.4,7.2,3613,19,15,79.4,149,29.8,53,10,66T,44,257,Absent
"Chargers
            
          

                  

            Chargers",544,359,66,8.7,4746,30,13,101.9,236,43.4,66,14,59T,38,227,Absent
"Steelers
            
          

                  

            Steelers",479,298,62.2,8.1,3890,22,9,95.2,175,36.5,62,11,56T,43,289,Superbowl
"Cardinals
            
          

                  

            Cardinals",561,285,50.8,5.8,3264,10,19,60.5,154,27.5,44,3,74T,50,343,Absent
"Eagles
            
          

                  

            Eagles",561,348,62,7.5,4215,28,13,92.1,189,33.7,61,15,91T,49,309,WildCard
"Jets
            
          

                  

            Jets",525,288,54.9,6.5,3420,20,14,76.5,171,32.6,44,11,74T,28,178,Conference
"Giants
            
          

                  

            Giants",539,339,62.9,7.4,4002,31,25,85.3,192,35.6,57,7,92T,16,117,Absent
"Saints
            
          

                  

            Saints",661,450,68.1,7,4636,33,22,90.8,236,35.7,47,10,80T,26,195,WildCard
"Patriots
            
          

                  

            Patriots",507,331,65.3,7.9,4022,37,5,109.8,196,38.7,54,10,79T,25,175,Divisional
"Vikings
            
          

                  

            Vikings",505,305,60.4,6.6,3327,14,26,67.7,159,31.5,47,3,53T,36,230,Absent
"Dolphins
            
          

                  

            Dolphins",557,335,60.1,6.7,3755,17,21,74.8,189,33.9,44,4,57T,38,228,Absent
"Raiders
            
          

                  

            Raiders",491,279,56.8,7.1,3471,18,16,77.5,159,32.4,45,12,73T,44,291,Absent
"Rams
            
          

                  

            Rams",590,354,60,6,3512,18,15,76.5,179,30.3,36,4,49,34,244,Absent
"Chiefs
            
          

                  

            Chiefs",475,274,57.7,6.7,3189,27,8,90.1,167,35.2,40,4,75T,32,221,WildCard
"Jaguars
            
          

                  

            Jaguars",469,291,62,7.2,3356,26,21,83.4,161,34.3,47,6,75,38,291,Absent
"Colts
            
          

                  

            Colts",679,450,66.3,6.9,4700,33,17,91.9,253,37.3,43,9,73T,16,91,WildCard
"Texans
            
          

                  

            Texans",574,365,63.6,7.6,4370,24,12,92,222,38.7,59,9,60,32,226,Absent
"Titans
            
          

                  

            Titans",474,273,57.6,6.9,3278,24,15,82.6,155,32.7,44,8,80T,27,171,Absent
"Packers
            
          

                  

            Packers",541,352,65.1,8,4355,31,13,98.9,204,37.7,57,11,86T,38,231,Champion
"Lions
            
          

                  

            Lions",633,383,60.5,6.3,4001,26,16,82,199,31.4,43,6,87T,27,191,Absent
"Broncos
            
          

                  

            Broncos",580,334,57.6,7.4,4307,25,12,86.8,204,35.2,62,13,71,40,269,Absent
"Cowboys
            
          

                  

            Cowboys",576,379,65.8,7.3,4208,29,19,90.4,201,34.9,57,8,71T,31,166,Absent
"Browns
            
          

                  

            Browns",478,296,61.9,6.7,3203,13,18,75,154,32.2,42,6,65T,36,214,Absent
"Bengals
            
          

                  

            Bengals",590,365,61.9,6.8,3988,26,20,82.4,206,34.9,45,9,78T,28,221,Absent
"Bears
            
          

                  

            Bears",466,276,59.2,7.3,3397,23,21,79.5,163,35,42,6,89T,56,382,Conference
"Panthers
            
          

                  

            Panthers",484,256,52.9,5.4,2635,9,21,57,125,25.8,30,3,88T,50,346,Absent
"Bills
            
          

                  

            Bills",519,296,57,6.5,3371,24,21,75.2,166,32,42,8,65T,34,213,Absent
"Ravens
            
          

                  

            Ravens",491,308,62.7,7.4,3629,25,10,93.6,175,35.6,40,7,67,40,294,Divisional
"Falcons
            
          

                  

            Falcons",577,361,62.6,6.5,3725,28,9,90.8,200,34.7,32,6,46,23,158,Divisional
