Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
"Redskins
            
          

                  

            Redskins",386,4294,11.1,30,52,9,78T,208,53.9,7
"Buccaneers
            
          

                  

            Buccaneers",312,4042,13,22,57,9,68,201,64.4,4
"Seahawks
            
          

                  

            Seahawks",333,4061,12.2,34,60,9,80T,190,57.1,3
"49ers
            
          

                  

            49ers",322,3646,11.3,16,46,12,76T,154,47.8,4
"Chargers
            
          

                  

            Chargers",442,4855,11,30,53,8,80T,230,52,7
"Steelers
            
          

                  

            Steelers",391,4822,12.3,26,61,21,88T,207,52.9,3
"Cardinals
            
          

                  

            Cardinals",353,4775,13.5,35,66,15,68,237,67.1,4
"Eagles
            
          

                  

            Eagles",405,4341,10.7,23,53,14,78T,193,47.7,6
"Jets
            
          

                  

            Jets",362,4170,11.5,33,56,9,69T,210,58,6
"Giants
            
          

                  

            Giants",392,4500,11.5,36,53,16,87T,208,53.1,6
"Saints
            
          

                  

            Saints",460,5205,11.3,32,72,13,80T,247,53.7,6
"Patriots
            
          

                  

            Patriots",404,4812,11.9,36,59,12,76T,229,56.7,3
"Vikings
            
          

                  

            Vikings",294,3246,11,14,41,6,52,153,52,4
"Dolphins
            
          

                  

            Dolphins",365,4231,11.6,24,57,13,54T,194,53.2,2
"Raiders
            
          

                  

            Raiders",373,4129,11.1,34,53,10,68T,193,51.7,5
"Rams
            
          

                  

            Rams",273,2931,10.7,11,35,10,68,126,46.2,3
"Chiefs
            
          

                  

            Chiefs",310,3493,11.3,20,42,10,80T,155,50,5
"Jaguars
            
          

                  

            Jaguars",355,4428,12.5,35,72,11,90T,215,60.6,2
"Colts
            
          

                  

            Colts",355,3928,11.1,26,46,7,87T,195,54.9,2
"Texans
            
          

                  

            Texans",358,4079,11.4,29,46,8,61T,210,58.7,3
"Titans
            
          

                  

            Titans",342,3893,11.4,25,49,6,61T,195,57,2
"Packers
            
          

                  

            Packers",348,3825,11,31,55,6,65T,173,49.7,4
"Lions
            
          

                  

            Lions",420,4463,10.6,33,52,8,57,236,56.2,3
"Broncos
            
          

                  

            Broncos",368,4216,11.5,19,41,11,75T,201,54.6,4
"Cowboys
            
          

                  

            Cowboys",334,3677,11,16,40,4,67,175,52.4,4
"Browns
            
          

                  

            Browns",371,4156,11.2,20,48,12,61,192,51.8,6
"Bengals
            
          

                  

            Bengals",334,4104,12.3,31,63,13,80T,191,57.2,3
"Bears
            
          

                  

            Bears",334,3843,11.5,21,56,10,87T,177,53,4
"Panthers
            
          

                  

            Panthers",300,3873,12.9,35,53,10,74T,197,65.7,3
"Bills
            
          

                  

            Bills",295,3600,12.2,23,51,12,63,155,52.5,6
"Ravens
            
          

                  

            Ravens",426,4449,10.4,21,54,8,50T,211,49.5,3
"Falcons
            
          

                  

            Falcons",410,4602,11.2,21,49,9,70T,230,56.1,4
